exp_id,scenario,bias,seed,sim_time,network_type,window_count,json_file,jsonl_file,timestamp
pilot-20260213-normal-normal-seed1,normal,0,1,1400.0,light,14000,sim/ns3/artifacts/pilot-20260213-normal-normal-seed1/mlo_output.json,sim/ns3/artifacts/pilot-20260213-normal-normal-seed1/telemetry.jsonl,2026-02-14T01:12:32+05:30
pilot-20260214-normal-normal-seed2,normal,0,2,1400.0,light,14000,sim/ns3/artifacts/pilot-20260214-normal-normal-seed2/mlo_output.json,sim/ns3/artifacts/pilot-20260214-normal-normal-seed2/telemetry.jsonl,2026-02-14T02:54:08+05:30
pilot-20260214-normal-normal-seed3,normal,0,3,1400.0,light,14000,sim/ns3/artifacts/pilot-20260214-normal-normal-seed3/mlo_output.json,sim/ns3/artifacts/pilot-20260214-normal-normal-seed3/telemetry.jsonl,2026-02-14T04:35:47+05:30
pilot-20260214-normal-normal-seed4,normal,0,4,1400.0,light,14000,sim/ns3/artifacts/pilot-20260214-normal-normal-seed4/mlo_output.json,sim/ns3/artifacts/pilot-20260214-normal-normal-seed4/telemetry.jsonl,2026-02-14T06:17:23+05:30
pilot-20260214-normal-normal-seed5,normal,0,5,1400.0,light,14000,sim/ns3/artifacts/pilot-20260214-normal-normal-seed5/mlo_output.json,sim/ns3/artifacts/pilot-20260214-normal-normal-seed5/telemetry.jsonl,2026-02-14T07:59:01+05:30
pilot-20260214-normal-normal-seed6,normal,0,6,1400.0,light,14000,sim/ns3/artifacts/pilot-20260214-normal-normal-seed6/mlo_output.json,sim/ns3/artifacts/pilot-20260214-normal-normal-seed6/telemetry.jsonl,2026-02-14T09:40:33+05:30
pilot-20260214-normal-normal-seed7,normal,0,7,1400.0,light,14000,sim/ns3/artifacts/pilot-20260214-normal-normal-seed7/mlo_output.json,sim/ns3/artifacts/pilot-20260214-normal-normal-seed7/telemetry.jsonl,2026-02-14T11:22:51+05:30
pilot-20260214-normal-normal-seed8,normal,0,8,1400.0,light,14000,sim/ns3/artifacts/pilot-20260214-normal-normal-seed8/mlo_output.json,sim/ns3/artifacts/pilot-20260214-normal-normal-seed8/telemetry.jsonl,2026-02-14T13:07:07+05:30
pilot-20260214-normal-normal-seed11,normal,0,11,200.0,light,2000,sim/ns3/artifacts/pilot-20260214-normal-normal-seed11/mlo_output.json,sim/ns3/artifacts/pilot-20260214-normal-normal-seed11/telemetry.jsonl,2026-02-14T13:54:33+05:30
pilot-20260214-normal-normal-seed10,normal,0,10,200.0,light,2000,sim/ns3/artifacts/pilot-20260214-normal-normal-seed10/mlo_output.json,sim/ns3/artifacts/pilot-20260214-normal-normal-seed10/telemetry.jsonl,2026-02-14T13:54:37+05:30
pilot-20260214-normal-normal-seed12,normal,0,12,200.0,light,2000,sim/ns3/artifacts/pilot-20260214-normal-normal-seed12/mlo_output.json,sim/ns3/artifacts/pilot-20260214-normal-normal-seed12/telemetry.jsonl,2026-02-14T13:54:45+05:30
pilot-20260214-positive-bias_0050-seed1,positive,50,1,200.0,light,2000,sim/ns3/artifacts/pilot-20260214-positive-bias_0050-seed1/mlo_output.json,sim/ns3/artifacts/pilot-20260214-positive-bias_0050-seed1/telemetry.jsonl,2026-02-14T14:10:26+05:30
pilot-20260214-normal-normal-seed14,normal,0,14,200.0,light,2000,sim/ns3/artifacts/pilot-20260214-normal-normal-seed14/mlo_output.json,sim/ns3/artifacts/pilot-20260214-normal-normal-seed14/telemetry.jsonl,2026-02-14T14:12:50+05:30
pilot-20260214-normal-normal-seed13,normal,0,13,200.0,light,2000,sim/ns3/artifacts/pilot-20260214-normal-normal-seed13/mlo_output.json,sim/ns3/artifacts/pilot-20260214-normal-normal-seed13/telemetry.jsonl,2026-02-14T14:12:52+05:30
pilot-20260214-normal-normal-seed15,normal,0,15,200.0,light,2000,sim/ns3/artifacts/pilot-20260214-normal-normal-seed15/mlo_output.json,sim/ns3/artifacts/pilot-20260214-normal-normal-seed15/telemetry.jsonl,2026-02-14T14:12:53+05:30
pilot-20260214-positive-bias_0500-seed1,positive,500,1,200.0,moderate,2000,sim/ns3/artifacts/pilot-20260214-positive-bias_0500-seed1/mlo_output.json,sim/ns3/artifacts/pilot-20260214-positive-bias_0500-seed1/telemetry.jsonl,2026-02-14T14:21:09+05:30
pilot-20260214-positive-bias_0100-seed2,positive,100,2,200.0,light,2000,sim/ns3/artifacts/pilot-20260214-positive-bias_0100-seed2/mlo_output.json,sim/ns3/artifacts/pilot-20260214-positive-bias_0100-seed2/telemetry.jsonl,2026-02-14T14:27:16+05:30
pilot-20260214-positive-bias_0100-seed1,positive,100,1,200.0,light,2000,sim/ns3/artifacts/pilot-20260214-positive-bias_0100-seed1/mlo_output.json,sim/ns3/artifacts/pilot-20260214-positive-bias_0100-seed1/telemetry.jsonl,2026-02-14T14:27:19+05:30
pilot-20260214-positive-bias_0050-seed2,positive,50,2,200.0,light,2000,sim/ns3/artifacts/pilot-20260214-positive-bias_0050-seed2/mlo_output.json,sim/ns3/artifacts/pilot-20260214-positive-bias_0050-seed2/telemetry.jsonl,2026-02-14T14:27:41+05:30
pilot-20260214-positive-bias_5000-seed1,positive,5000,1,200.0,dense,2000,sim/ns3/artifacts/pilot-20260214-positive-bias_5000-seed1/mlo_output.json,sim/ns3/artifacts/pilot-20260214-positive-bias_5000-seed1/telemetry.jsonl,2026-02-14T14:30:55+05:30
pilot-20260214-positive-bias_5000-seed2,positive,5000,2,200.0,dense,2000,sim/ns3/artifacts/pilot-20260214-positive-bias_5000-seed2/mlo_output.json,sim/ns3/artifacts/pilot-20260214-positive-bias_5000-seed2/telemetry.jsonl,2026-02-14T14:30:55+05:30
pilot-20260214-positive-bias_1000-seed1,positive,1000,1,200.0,moderate,2000,sim/ns3/artifacts/pilot-20260214-positive-bias_1000-seed1/mlo_output.json,sim/ns3/artifacts/pilot-20260214-positive-bias_1000-seed1/telemetry.jsonl,2026-02-14T14:35:04+05:30
pilot-20260214-negative-bias_neg0050-seed1,negative,-50,1,200.0,light,2000,sim/ns3/artifacts/pilot-20260214-negative-bias_neg0050-seed1/mlo_output.json,sim/ns3/artifacts/pilot-20260214-negative-bias_neg0050-seed1/telemetry.jsonl,2026-02-14T14:40:50+05:30
pilot-20260214-negative-bias_neg0500-seed1,negative,-500,1,200.0,moderate,2000,sim/ns3/artifacts/pilot-20260214-negative-bias_neg0500-seed1/mlo_output.json,sim/ns3/artifacts/pilot-20260214-negative-bias_neg0500-seed1/telemetry.jsonl,2026-02-14T14:56:11+05:30
pilot-20260214-negative-bias_neg1000-seed1,negative,-1000,1,200.0,moderate,2000,sim/ns3/artifacts/pilot-20260214-negative-bias_neg1000-seed1/mlo_output.json,sim/ns3/artifacts/pilot-20260214-negative-bias_neg1000-seed1/telemetry.jsonl,2026-02-14T14:56:12+05:30
pilot-20260214-negative-bias_neg0050-seed2,negative,-50,2,200.0,light,2000,sim/ns3/artifacts/pilot-20260214-negative-bias_neg0050-seed2/mlo_output.json,sim/ns3/artifacts/pilot-20260214-negative-bias_neg0050-seed2/telemetry.jsonl,2026-02-14T14:56:13+05:30
pilot-20260214-negative-bias_neg0100-seed1,negative,-100,1,200.0,light,2000,sim/ns3/artifacts/pilot-20260214-negative-bias_neg0100-seed1/mlo_output.json,sim/ns3/artifacts/pilot-20260214-negative-bias_neg0100-seed1/telemetry.jsonl,2026-02-14T14:56:14+05:30
pilot-20260214-negative-bias_neg5000-seed2,negative,-5000,2,200.0,dense,2000,sim/ns3/artifacts/pilot-20260214-negative-bias_neg5000-seed2/mlo_output.json,sim/ns3/artifacts/pilot-20260214-negative-bias_neg5000-seed2/telemetry.jsonl,2026-02-14T15:08:44+05:30
pilot-20260214-negative-bias_neg5000-seed1,negative,-5000,1,200.0,dense,2000,sim/ns3/artifacts/pilot-20260214-negative-bias_neg5000-seed1/mlo_output.json,sim/ns3/artifacts/pilot-20260214-negative-bias_neg5000-seed1/telemetry.jsonl,2026-02-14T15:08:46+05:30
