exp_id,scenario,bias,seed,sim_time,network_type,window_count,json_file,jsonl_file,timestamp
extended-20260214-normal-normal-seed106,normal,0,106,200.0,light,2000,sim/ns3/artifacts/extended-20260214-normal-normal-seed106/mlo_output.json,sim/ns3/artifacts/extended-20260214-normal-normal-seed106/telemetry.jsonl,2026-02-14T16:37:36+05:30
extended-20260214-normal-normal-seed101,normal,0,101,200.0,light,2000,sim/ns3/artifacts/extended-20260214-normal-normal-seed101/mlo_output.json,sim/ns3/artifacts/extended-20260214-normal-normal-seed101/telemetry.jsonl,2026-02-14T16:37:41+05:30
extended-20260214-normal-normal-seed104,normal,0,104,200.0,light,2000,sim/ns3/artifacts/extended-20260214-normal-normal-seed104/mlo_output.json,sim/ns3/artifacts/extended-20260214-normal-normal-seed104/telemetry.jsonl,2026-02-14T16:37:53+05:30
extended-20260214-normal-normal-seed107,normal,0,107,200.0,light,2000,sim/ns3/artifacts/extended-20260214-normal-normal-seed107/mlo_output.json,sim/ns3/artifacts/extended-20260214-normal-normal-seed107/telemetry.jsonl,2026-02-14T16:37:54+05:30
extended-20260214-normal-normal-seed103,normal,0,103,200.0,light,2000,sim/ns3/artifacts/extended-20260214-normal-normal-seed103/mlo_output.json,sim/ns3/artifacts/extended-20260214-normal-normal-seed103/telemetry.jsonl,2026-02-14T16:38:28+05:30
extended-20260214-normal-normal-seed109,normal,0,109,200.0,light,2000,sim/ns3/artifacts/extended-20260214-normal-normal-seed109/mlo_output.json,sim/ns3/artifacts/extended-20260214-normal-normal-seed109/telemetry.jsonl,2026-02-14T16:38:29+05:30
extended-20260214-normal-normal-seed105,normal,0,105,200.0,light,2000,sim/ns3/artifacts/extended-20260214-normal-normal-seed105/mlo_output.json,sim/ns3/artifacts/extended-20260214-normal-normal-seed105/telemetry.jsonl,2026-02-14T16:41:04+05:30
extended-20260214-normal-normal-seed100,normal,0,100,200.0,light,2000,sim/ns3/artifacts/extended-20260214-normal-normal-seed100/mlo_output.json,sim/ns3/artifacts/extended-20260214-normal-normal-seed100/telemetry.jsonl,2026-02-14T16:44:17+05:30
extended-20260214-normal-normal-seed108,normal,0,108,200.0,light,2000,sim/ns3/artifacts/extended-20260214-normal-normal-seed108/mlo_output.json,sim/ns3/artifacts/extended-20260214-normal-normal-seed108/telemetry.jsonl,2026-02-14T16:45:42+05:30
extended-20260214-normal-normal-seed102,normal,0,102,200.0,light,2000,sim/ns3/artifacts/extended-20260214-normal-normal-seed102/mlo_output.json,sim/ns3/artifacts/extended-20260214-normal-normal-seed102/telemetry.jsonl,2026-02-14T16:45:48+05:30
